Power Generation Technology,Year,Value,Parameter
Oil Fired Gas Turbine (SCGT),2015,191.43,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,6761.57,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,2120.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,5.11,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,191.43,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,6761.57,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,2120.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,5.11,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,191.43,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,6761.57,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,2120.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,5.11,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,191.43,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,6761.57,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,2120.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,5.11,Estimated Installed Capacity (MW)
