lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
LBY0PWRNGS001,LBY,PWRNGS001,0,AlKhums14050,30.0,1995,0.999
LBY1PWRNGS001,LBY,PWRNGS001,1,AzZawiyah14051,30.0,2003,1.44
LBY2PWRNGS001,LBY,PWRNGS001,2,Capacity Scaler,30.0,1994,3.3825682710000002
LBY3PWRNGS001,LBY,PWRNGS001,3,DoubleCornerP14053,30.0,2000,0.48
LBY4PWRNGS001,LBY,PWRNGS001,4,GulfofSirte14054,30.0,2016,0.35
LBY5PWRNGS001,LBY,PWRNGS001,5,Misrata14055,30.0,2010,0.5
LBY6PWRNGS001,LBY,PWRNGS001,6,NorthBenghazi14056,30.0,1979,1.041
LBY7PWRNGS001,LBY,PWRNGS001,7,SouthTripoli14057,30.0,1994,0.147
LBY8PWRNGS001,LBY,PWRNGS001,8,WesternMountai14060,30.0,2005,0.624
LBY9PWRNGS001,LBY,PWRNGS001,9,Zuenita14061,30.0,1994,0.335
LBY0PWROHC002,LBY,PWROHC002,0,Capacity Scaler,30.0,1996,0.1914317293
LBY1PWROHC002,LBY,PWROHC002,1,DernaSteamSta14052,30.0,1985,0.065
LBY2PWROHC002,LBY,PWROHC002,2,TobrukSteamSt14058,30.0,1985,0.065
LBY3PWROHC002,LBY,PWROHC002,3,WestTripoli14059,30.0,1976,0.185
