Datetime,Load,Temperature,Hour,Day,Month,Season
2023-01-01 00:00:00,3016.0,22.8,0,Sunday,1,Winter
2023-01-01 01:00:00,2845.0,19.4,1,Sunday,1,Winter
2023-01-01 02:00:00,2754.2,19.6,2,Sunday,1,Winter
2023-01-01 03:00:00,2652.5,22.2,3,Sunday,1,Winter
2023-01-01 04:00:00,2386.0,21.3,4,Sunday,1,Winter
2023-01-01 05:00:00,2242.3,20.7,5,Sunday,1,Winter
2023-01-01 06:00:00,2215.5,22.9,6,Sunday,1,Winter
2023-01-01 07:00:00,2075.2,21.6,7,Sunday,1,Winter
2023-01-01 08:00:00,1953.1,21.4,8,Sunday,1,Winter
2023-01-01 09:00:00,1982.4,22.5,9,Sunday,1,Winter
2023-01-01 10:00:00,1953.4,20.8,10,Sunday,1,Winter
2023-01-01 11:00:00,2012.5,23.7,11,Sunday,1,Winter
2023-01-01 12:00:00,2144.4,20.2,12,Sunday,1,Winter
2023-01-01 13:00:00,2148.4,22.3,13,Sunday,1,Winter
2023-01-01 14:00:00,2300.6,23.5,14,Sunday,1,Winter
2023-01-01 15:00:00,2535.7,19.3,15,Sunday,1,Winter
2023-01-01 16:00:00,2691.7,20.8,16,Sunday,1,Winter
2023-01-01 17:00:00,3001.2,23.1,17,Sunday,1,Winter
2023-01-01 18:00:00,3135.8,23.1,18,Sunday,1,Winter
2023-01-01 19:00:00,3288.0,21.1,19,Sunday,1,Winter
2023-01-01 20:00:00,3641.4,20.3,20,Sunday,1,Winter
2023-01-01 21:00:00,3469.0,22.8,21,Sunday,1,Winter
2023-01-01 22:00:00,3369.4,23.1,22,Sunday,1,Winter
2023-01-01 23:00:00,3083.3,19.6,23,Sunday,1,Winter
2023-01-02 00:00:00,2944.8,19.4,0,Monday,1,Winter
2023-01-02 01:00:00,2869.0,21.5,1,Monday,1,Winter
2023-01-02 02:00:00,2638.0,22.1,2,Monday,1,Winter
2023-01-02 03:00:00,2584.8,20.7,3,Monday,1,Winter
2023-01-02 04:00:00,2369.1,22.2,4,Monday,1,Winter
2023-01-02 05:00:00,2243.9,20.1,5,Monday,1,Winter
2023-01-02 06:00:00,2103.8,18.0,6,Monday,1,Winter
2023-01-02 07:00:00,2135.0,20.5,7,Monday,1,Winter
2023-01-02 08:00:00,1979.8,21.3,8,Monday,1,Winter
2023-01-02 09:00:00,1908.2,20.8,9,Monday,1,Winter
2023-01-02 10:00:00,2021.2,19.4,10,Monday,1,Winter
2023-01-02 11:00:00,1978.3,18.4,11,Monday,1,Winter
2023-01-02 12:00:00,2147.3,20.4,12,Monday,1,Winter
2023-01-02 13:00:00,2150.4,22.5,13,Monday,1,Winter
2023-01-02 14:00:00,2329.5,23.0,14,Monday,1,Winter
2023-01-02 15:00:00,2590.1,22.9,15,Monday,1,Winter
2023-01-02 16:00:00,2818.6,19.9,16,Monday,1,Winter
2023-01-02 17:00:00,2997.0,19.4,17,Monday,1,Winter
2023-01-02 18:00:00,3206.2,21.9,18,Monday,1,Winter
2023-01-02 19:00:00,3390.0,22.1,19,Monday,1,Winter
2023-01-02 20:00:00,3390.1,21.8,20,Monday,1,Winter
2023-01-02 21:00:00,3433.2,18.1,21,Monday,1,Winter
2023-01-02 22:00:00,3332.2,19.9,22,Monday,1,Winter
2023-01-02 23:00:00,3288.7,21.1,23,Monday,1,Winter
2023-01-03 00:00:00,3018.1,21.7,0,Tuesday,1,Winter
2023-01-03 01:00:00,2741.3,22.1,1,Tuesday,1,Winter
2023-01-03 02:00:00,2744.5,21.2,2,Tuesday,1,Winter
2023-01-03 03:00:00,2541.9,21.5,3,Tuesday,1,Winter
2023-01-03 04:00:00,2370.0,21.1,4,Tuesday,1,Winter
2023-01-03 05:00:00,2300.3,22.0,5,Tuesday,1,Winter
2023-01-03 06:00:00,2196.1,21.4,6,Tuesday,1,Winter
2023-01-03 07:00:00,2092.9,21.1,7,Tuesday,1,Winter
2023-01-03 08:00:00,1943.5,20.6,8,Tuesday,1,Winter
2023-01-03 09:00:00,1949.4,21.1,9,Tuesday,1,Winter
2023-01-03 10:00:00,2001.5,21.7,10,Tuesday,1,Winter
2023-01-03 11:00:00,2095.1,21.4,11,Tuesday,1,Winter
2023-01-03 12:00:00,2115.4,21.5,12,Tuesday,1,Winter
2023-01-03 13:00:00,2255.9,23.0,13,Tuesday,1,Winter
2023-01-03 14:00:00,2348.2,21.4,14,Tuesday,1,Winter
2023-01-03 15:00:00,2506.1,20.0,15,Tuesday,1,Winter
2023-01-03 16:00:00,2830.3,22.3,16,Tuesday,1,Winter
2023-01-03 17:00:00,3092.5,18.9,17,Tuesday,1,Winter
2023-01-03 18:00:00,3217.2,19.3,18,Tuesday,1,Winter
2023-01-03 19:00:00,3509.5,21.5,19,Tuesday,1,Winter
2023-01-03 20:00:00,3560.3,21.7,20,Tuesday,1,Winter
2023-01-03 21:00:00,3447.7,19.1,21,Tuesday,1,Winter
2023-01-03 22:00:00,3409.3,20.4,22,Tuesday,1,Winter
2023-01-03 23:00:00,3335.0,20.1,23,Tuesday,1,Winter
2023-01-04 00:00:00,2997.1,20.0,0,Wednesday,1,Winter
2023-01-04 01:00:00,2987.2,22.2,1,Wednesday,1,Winter
2023-01-04 02:00:00,2550.5,21.8,2,Wednesday,1,Winter
2023-01-04 03:00:00,2625.9,20.7,3,Wednesday,1,Winter
2023-01-04 04:00:00,2422.1,19.9,4,Wednesday,1,Winter
2023-01-04 05:00:00,2254.3,18.7,5,Wednesday,1,Winter
2023-01-04 06:00:00,2151.2,22.9,6,Wednesday,1,Winter
2023-01-04 07:00:00,1948.5,21.7,7,Wednesday,1,Winter
2023-01-04 08:00:00,1979.1,19.7,8,Wednesday,1,Winter
2023-01-04 09:00:00,1987.1,21.8,9,Wednesday,1,Winter
2023-01-04 10:00:00,2063.6,20.7,10,Wednesday,1,Winter
2023-01-04 11:00:00,2023.8,20.3,11,Wednesday,1,Winter
