Datetime,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,Total_Load,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows
2017-01-01 00:00:00,34055.6962,16128.87538,20240.96386,70425.53543999999,6.559,73.8,0.083,0.051,0.119
2017-01-01 00:10:00,29814.68354,19375.07599,20131.08434,69320.84387000001,6.414,74.5,0.083,0.07,0.085
2017-01-01 00:20:00,29128.10127,19006.68693,19668.43373,67803.22193,6.313,74.5,0.08,0.062,0.1
2017-01-01 00:30:00,28228.86076,18361.09422,18899.27711,65489.23208999999,6.121,75.0,0.083,0.091,0.096
2017-01-01 00:40:00,27335.6962,17872.34043,18442.40964,63650.44627,5.921,75.7,0.081,0.048,0.085
2017-01-01 00:50:00,26624.81013,17416.41337,18130.12048,62171.343980000005,5.853,76.9,0.081,0.059,0.108
2017-01-01 01:00:00,25998.98734,16993.31307,17945.06024,60937.360649999995,5.641,77.7,0.08,0.048,0.096
2017-01-01 01:10:00,25446.07595,16661.39818,17459.27711,59566.75124,5.496,78.2,0.085,0.055,0.093
2017-01-01 01:20:00,24777.72152,16227.35562,17025.54217,58030.61931,5.678,78.1,0.081,0.066,0.141
2017-01-01 01:30:00,24279.49367,15939.20973,16794.21687,57012.92027,5.491,77.3,0.082,0.062,0.111
2017-01-01 01:40:00,23896.70886,15435.86626,16638.07229,55970.647410000005,5.516,77.5,0.081,0.051,0.108
2017-01-01 01:50:00,23544.3038,15213.37386,16395.18072,55152.858380000005,5.471,76.7,0.083,0.059,0.126
2017-01-01 02:00:00,23003.5443,15169.60486,16117.59036,54290.73952,5.059,78.6,0.081,0.07,0.096
2017-01-01 02:10:00,22329.11392,14710.0304,15822.6506,52861.79492,4.968,78.8,0.084,0.07,0.134
2017-01-01 02:20:00,22092.1519,14421.8845,15672.28916,52186.32556,4.975,78.9,0.083,0.055,0.152
2017-01-01 02:30:00,21903.79747,14104.55927,15597.10843,51605.46517,4.897,79.1,0.083,0.07,0.096
2017-01-01 02:40:00,21685.06329,13965.95745,15510.36145,51161.382190000004,5.02,79.7,0.081,0.051,0.134
2017-01-01 02:50:00,21484.55696,13612.15805,15336.86747,50433.58248,5.407,78.5,0.082,0.062,0.163
2017-01-01 03:00:00,21107.8481,13535.56231,15140.24096,49783.65136999999,5.169,77.9,0.083,0.066,0.108
2017-01-01 03:10:00,20998.48101,13371.42857,15059.27711,49429.18669,5.081,77.7,0.084,0.051,0.13
2017-01-01 03:20:00,20870.88608,13196.35258,15013.01205,49080.25071,5.041,77.2,0.081,0.062,0.152
2017-01-01 03:30:00,20870.88608,13167.17325,14897.3494,48935.40873,5.034,76.9,0.083,0.051,0.185
2017-01-01 03:40:00,20597.46835,13137.99392,14602.40964,48337.87191,4.896,76.6,0.085,0.07,0.137
2017-01-01 03:50:00,20421.26582,12908.20669,14590.84337,47920.31588,4.805,76.2,0.081,0.059,0.134
2017-01-01 04:00:00,20524.55696,12820.66869,14585.06024,47930.28589,4.753,75.7,0.083,0.044,0.134
2017-01-01 04:10:00,20482.02532,13032.21884,14452.04819,47966.29235,4.901,74.4,0.083,0.07,0.122
2017-01-01 04:20:00,20530.63291,12926.44377,14232.28916,47689.36584,5.203,74.1,0.085,0.062,0.096
2017-01-01 04:30:00,20512.40506,12948.32827,14157.10843,47617.84176,5.394,71.9,0.081,0.073,0.1
2017-01-01 04:40:00,20494.17722,12922.79635,14232.28916,47649.26273,5.156,74.0,0.079,0.062,0.148
2017-01-01 04:50:00,20311.89873,12879.02736,14243.85542,47434.78151,5.179,74.2,0.083,0.037,0.137
2017-01-01 05:00:00,20542.78481,12806.07903,14243.85542,47592.719260000005,4.934,72.9,0.082,0.055,0.134
2017-01-01 05:10:00,20621.77215,12853.49544,14105.06024,47580.32783,4.718,75.8,0.08,0.051,0.152
2017-01-01 05:20:00,20627.8481,12842.55319,14266.98795,47737.389240000004,5.546,74.0,0.082,0.055,0.093
2017-01-01 05:30:00,20797.97468,13137.99392,14353.73494,48289.70354,4.658,73.5,0.08,0.044,0.104
2017-01-01 05:40:00,20858.73418,13203.64742,14538.79518,48601.17678,4.382,76.9,0.081,0.073,0.148
2017-01-01 05:50:00,21393.41772,13575.68389,14862.6506,49831.75221,4.212,78.3,0.081,0.117,0.082
2017-01-01 06:00:00,22219.74684,14068.08511,14908.91566,51196.74761,4.308,77.2,0.081,0.062,0.126
2017-01-01 06:10:00,21928.10127,13852.88754,14729.63855,50510.62736,4.735,74.3,0.08,0.04,0.156
2017-01-01 06:20:00,21776.20253,13626.74772,14625.54217,50028.492419999995,4.769,75.6,0.082,0.099,0.063
